Distanza,ID,Kernel Name,Metric Name,Metric Unit,Metric Value Media
5,0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",dram__cycles_active.avg,cycle,5706.1
5,0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",dram__cycles_elapsed.avg,cycle,1784921.6
5,0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,0.479
5,0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,%,0.31999999999999995
5,0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",gpu__time_duration.sum,ns,262688.0
5,0,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",sm__warps_active.avg.pct_of_peak_sustained_active,%,3.123
5,1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",dram__cycles_active.avg,cycle,921.0
5,1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",dram__cycles_elapsed.avg,cycle,1769779.2
5,1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,0.053000000000000005
5,1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,%,0.053000000000000005
5,1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",gpu__time_duration.sum,ns,260614.4
5,1,"validate_circuit_kernel(Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",sm__warps_active.avg.pct_of_peak_sustained_active,%,3.123
5,2,"void circuit_kernel_batch_plain_stack<1>(unsigned int *, unsigned int *, Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",dram__cycles_active.avg,cycle,133427.85
5,2,"void circuit_kernel_batch_plain_stack<1>(unsigned int *, unsigned int *, Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",dram__cycles_elapsed.avg,cycle,7864665.6
5,2,"void circuit_kernel_batch_plain_stack<1>(unsigned int *, unsigned int *, Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,21.57
5,2,"void circuit_kernel_batch_plain_stack<1>(unsigned int *, unsigned int *, Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,%,1.6960000000000002
