Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name,d,run
71.3,1162393,1,1162393.0,1162393.0,1162393,1162393,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,1
28.7,466879,2,233439.5,233439.5,232827,234052,866.2,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,1
71.7,1174117,1,1174117.0,1174117.0,1174117,1174117,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,2
28.3,462587,2,231293.5,231293.5,230639,231948,925.6,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,2
81.2,7830114,1,7830114.0,7830114.0,7830114,7830114,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",10,1
18.8,1817835,2,908917.5,908917.5,857309,960526,72985.4,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",10,1
78.2,6521882,1,6521882.0,6521882.0,6521882,6521882,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",10,2
21.8,1813695,2,906847.5,906847.5,854386,959309,74191.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",10,2
71.3,1144997,1,1144997.0,1144997.0,1144997,1144997,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,1
28.7,461145,2,230572.5,230572.5,230031,231114,765.8,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,1
71.4,1164208,1,1164208.0,1164208.0,1164208,1164208,0.0,"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,2
28.6,466436,2,233218.0,233218.0,232172,234264,1479.3,"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,2
