Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation,d,run
1.6,2,0.8,0.8,0.8,0.8,0.0,[CUDA memset],5,1
0.014,1,0.014,0.014,0.014,0.014,0.0,[CUDA memcpy Host-to-Device],5,1
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],5,1
1.6,2,0.8,0.8,0.8,0.8,0.0,[CUDA memset],5,2
0.014,1,0.014,0.014,0.014,0.014,0.0,[CUDA memcpy Host-to-Device],5,2
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],5,2
5.725,2,2.862,2.862,2.862,2.862,0.0,[CUDA memset],10,1
0.051,1,0.051,0.051,0.051,0.051,0.0,[CUDA memcpy Host-to-Device],10,1
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],10,1
5.725,2,2.862,2.862,2.862,2.862,0.0,[CUDA memset],10,2
0.051,1,0.051,0.051,0.051,0.051,0.0,[CUDA memcpy Host-to-Device],10,2
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],10,2
1.6,2,0.8,0.8,0.8,0.8,0.0,[CUDA memset],5,1
0.014,1,0.014,0.014,0.014,0.014,0.0,[CUDA memcpy Host-to-Device],5,1
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],5,1
1.6,2,0.8,0.8,0.8,0.8,0.0,[CUDA memset],5,2
0.014,1,0.014,0.014,0.014,0.014,0.0,[CUDA memcpy Host-to-Device],5,2
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],5,2
1.6,2,0.8,0.8,0.8,0.8,0.0,[CUDA memset],5,3
0.014,1,0.014,0.014,0.014,0.014,0.0,[CUDA memcpy Host-to-Device],5,3
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],5,3
1.6,2,0.8,0.8,0.8,0.8,0.0,[CUDA memset],5,4
0.014,1,0.014,0.014,0.014,0.014,0.0,[CUDA memcpy Host-to-Device],5,4
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],5,4
1.6,2,0.8,0.8,0.8,0.8,0.0,[CUDA memset],5,5
0.014,1,0.014,0.014,0.014,0.014,0.0,[CUDA memcpy Host-to-Device],5,5
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],5,5
1.6,2,0.8,0.8,0.8,0.8,0.0,[CUDA memset],5,6
0.014,1,0.014,0.014,0.014,0.014,0.0,[CUDA memcpy Host-to-Device],5,6
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],5,6
1.6,2,0.8,0.8,0.8,0.8,0.0,[CUDA memset],5,7
0.014,1,0.014,0.014,0.014,0.014,0.0,[CUDA memcpy Host-to-Device],5,7
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],5,7
1.6,2,0.8,0.8,0.8,0.8,0.0,[CUDA memset],5,8
0.014,1,0.014,0.014,0.014,0.014,0.0,[CUDA memcpy Host-to-Device],5,8
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],5,8
1.6,2,0.8,0.8,0.8,0.8,0.0,[CUDA memset],5,9
0.014,1,0.014,0.014,0.014,0.014,0.0,[CUDA memcpy Host-to-Device],5,9
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],5,9
1.6,2,0.8,0.8,0.8,0.8,0.0,[CUDA memset],5,10
0.014,1,0.014,0.014,0.014,0.014,0.0,[CUDA memcpy Host-to-Device],5,10
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],5,10
12.35,2,6.175,6.175,6.175,6.175,0.0,[CUDA memset],15,1
0.113,1,0.113,0.113,0.113,0.113,0.0,[CUDA memcpy Host-to-Device],15,1
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],15,1
12.35,2,6.175,6.175,6.175,6.175,0.0,[CUDA memset],15,2
0.113,1,0.113,0.113,0.113,0.113,0.0,[CUDA memcpy Host-to-Device],15,2
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],15,2
12.35,2,6.175,6.175,6.175,6.175,0.0,[CUDA memset],15,3
0.113,1,0.113,0.113,0.113,0.113,0.0,[CUDA memcpy Host-to-Device],15,3
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],15,3
12.35,2,6.175,6.175,6.175,6.175,0.0,[CUDA memset],15,4
0.113,1,0.113,0.113,0.113,0.113,0.0,[CUDA memcpy Host-to-Device],15,4
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],15,4
12.35,2,6.175,6.175,6.175,6.175,0.0,[CUDA memset],15,5
0.113,1,0.113,0.113,0.113,0.113,0.0,[CUDA memcpy Host-to-Device],15,5
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],15,5
12.35,2,6.175,6.175,6.175,6.175,0.0,[CUDA memset],15,6
0.113,1,0.113,0.113,0.113,0.113,0.0,[CUDA memcpy Host-to-Device],15,6
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],15,6
12.35,2,6.175,6.175,6.175,6.175,0.0,[CUDA memset],15,7
0.113,1,0.113,0.113,0.113,0.113,0.0,[CUDA memcpy Host-to-Device],15,7
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],15,7
12.35,2,6.175,6.175,6.175,6.175,0.0,[CUDA memset],15,8
0.113,1,0.113,0.113,0.113,0.113,0.0,[CUDA memcpy Host-to-Device],15,8
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],15,8
12.35,2,6.175,6.175,6.175,6.175,0.0,[CUDA memset],15,9
0.113,1,0.113,0.113,0.113,0.113,0.0,[CUDA memcpy Host-to-Device],15,9
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],15,9
12.35,2,6.175,6.175,6.175,6.175,0.0,[CUDA memset],15,10
0.113,1,0.113,0.113,0.113,0.113,0.0,[CUDA memcpy Host-to-Device],15,10
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],15,10
33.1,2,16.55,16.55,16.55,16.55,0.0,[CUDA memset],25,1
0.312,1,0.312,0.312,0.312,0.312,0.0,[CUDA memcpy Host-to-Device],25,1
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],25,1
33.1,2,16.55,16.55,16.55,16.55,0.0,[CUDA memset],25,2
0.312,1,0.312,0.312,0.312,0.312,0.0,[CUDA memcpy Host-to-Device],25,2
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],25,2
33.1,2,16.55,16.55,16.55,16.55,0.0,[CUDA memset],25,3
0.312,1,0.312,0.312,0.312,0.312,0.0,[CUDA memcpy Host-to-Device],25,3
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],25,3
33.1,2,16.55,16.55,16.55,16.55,0.0,[CUDA memset],25,4
0.312,1,0.312,0.312,0.312,0.312,0.0,[CUDA memcpy Host-to-Device],25,4
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],25,4
33.1,2,16.55,16.55,16.55,16.55,0.0,[CUDA memset],25,5
0.312,1,0.312,0.312,0.312,0.312,0.0,[CUDA memcpy Host-to-Device],25,5
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],25,5
33.1,2,16.55,16.55,16.55,16.55,0.0,[CUDA memset],25,6
0.312,1,0.312,0.312,0.312,0.312,0.0,[CUDA memcpy Host-to-Device],25,6
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],25,6
33.1,2,16.55,16.55,16.55,16.55,0.0,[CUDA memset],25,7
0.312,1,0.312,0.312,0.312,0.312,0.0,[CUDA memcpy Host-to-Device],25,7
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],25,7
33.1,2,16.55,16.55,16.55,16.55,0.0,[CUDA memset],25,8
0.312,1,0.312,0.312,0.312,0.312,0.0,[CUDA memcpy Host-to-Device],25,8
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],25,8
33.1,2,16.55,16.55,16.55,16.55,0.0,[CUDA memset],25,9
0.312,1,0.312,0.312,0.312,0.312,0.0,[CUDA memcpy Host-to-Device],25,9
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],25,9
33.1,2,16.55,16.55,16.55,16.55,0.0,[CUDA memset],25,10
0.312,1,0.312,0.312,0.312,0.312,0.0,[CUDA memcpy Host-to-Device],25,10
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],25,10
63.85,2,31.925,31.925,31.925,31.925,0.0,[CUDA memset],35,1
0.61,1,0.61,0.61,0.61,0.61,0.0,[CUDA memcpy Host-to-Device],35,1
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],35,1
63.85,2,31.925,31.925,31.925,31.925,0.0,[CUDA memset],35,2
0.61,1,0.61,0.61,0.61,0.61,0.0,[CUDA memcpy Host-to-Device],35,2
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],35,2
63.85,2,31.925,31.925,31.925,31.925,0.0,[CUDA memset],35,3
0.61,1,0.61,0.61,0.61,0.61,0.0,[CUDA memcpy Host-to-Device],35,3
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],35,3
63.85,2,31.925,31.925,31.925,31.925,0.0,[CUDA memset],35,4
0.61,1,0.61,0.61,0.61,0.61,0.0,[CUDA memcpy Host-to-Device],35,4
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],35,4
63.85,2,31.925,31.925,31.925,31.925,0.0,[CUDA memset],35,5
0.61,1,0.61,0.61,0.61,0.61,0.0,[CUDA memcpy Host-to-Device],35,5
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],35,5
63.85,2,31.925,31.925,31.925,31.925,0.0,[CUDA memset],35,6
0.61,1,0.61,0.61,0.61,0.61,0.0,[CUDA memcpy Host-to-Device],35,6
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],35,6
63.85,2,31.925,31.925,31.925,31.925,0.0,[CUDA memset],35,7
0.61,1,0.61,0.61,0.61,0.61,0.0,[CUDA memcpy Host-to-Device],35,7
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],35,7
63.85,2,31.925,31.925,31.925,31.925,0.0,[CUDA memset],35,8
0.61,1,0.61,0.61,0.61,0.61,0.0,[CUDA memcpy Host-to-Device],35,8
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],35,8
63.85,2,31.925,31.925,31.925,31.925,0.0,[CUDA memset],35,9
0.61,1,0.61,0.61,0.61,0.61,0.0,[CUDA memcpy Host-to-Device],35,9
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],35,9
63.85,2,31.925,31.925,31.925,31.925,0.0,[CUDA memset],35,10
0.61,1,0.61,0.61,0.61,0.61,0.0,[CUDA memcpy Host-to-Device],35,10
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],35,10
104.6,2,52.3,52.3,52.3,52.3,0.0,[CUDA memset],45,1
1.009,1,1.009,1.009,1.009,1.009,0.0,[CUDA memcpy Host-to-Device],45,1
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],45,1
104.6,2,52.3,52.3,52.3,52.3,0.0,[CUDA memset],45,2
1.009,1,1.009,1.009,1.009,1.009,0.0,[CUDA memcpy Host-to-Device],45,2
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],45,2
104.6,2,52.3,52.3,52.3,52.3,0.0,[CUDA memset],45,3
1.009,1,1.009,1.009,1.009,1.009,0.0,[CUDA memcpy Host-to-Device],45,3
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],45,3
104.6,2,52.3,52.3,52.3,52.3,0.0,[CUDA memset],45,4
1.009,1,1.009,1.009,1.009,1.009,0.0,[CUDA memcpy Host-to-Device],45,4
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],45,4
104.6,2,52.3,52.3,52.3,52.3,0.0,[CUDA memset],45,5
1.009,1,1.009,1.009,1.009,1.009,0.0,[CUDA memcpy Host-to-Device],45,5
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],45,5
104.6,2,52.3,52.3,52.3,52.3,0.0,[CUDA memset],45,6
1.009,1,1.009,1.009,1.009,1.009,0.0,[CUDA memcpy Host-to-Device],45,6
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],45,6
104.6,2,52.3,52.3,52.3,52.3,0.0,[CUDA memset],45,7
1.009,1,1.009,1.009,1.009,1.009,0.0,[CUDA memcpy Host-to-Device],45,7
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],45,7
104.6,2,52.3,52.3,52.3,52.3,0.0,[CUDA memset],45,8
1.009,1,1.009,1.009,1.009,1.009,0.0,[CUDA memcpy Host-to-Device],45,8
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],45,8
104.6,2,52.3,52.3,52.3,52.3,0.0,[CUDA memset],45,9
1.009,1,1.009,1.009,1.009,1.009,0.0,[CUDA memcpy Host-to-Device],45,9
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],45,9
104.6,2,52.3,52.3,52.3,52.3,0.0,[CUDA memset],45,10
1.009,1,1.009,1.009,1.009,1.009,0.0,[CUDA memcpy Host-to-Device],45,10
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],45,10
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,1
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,1
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,1
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,2
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,2
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,2
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,3
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,3
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,3
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,4
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,4
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,4
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,5
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,5
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,5
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,6
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,6
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,6
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,7
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,7
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,7
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,8
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,8
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,8
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,9
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,9
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,9
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,10
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,10
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,10
216.1,2,108.05,108.05,108.05,108.05,0.0,[CUDA memset],65,1
2.106,1,2.106,2.106,2.106,2.106,0.0,[CUDA memcpy Host-to-Device],65,1
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],65,1
216.1,2,108.05,108.05,108.05,108.05,0.0,[CUDA memset],65,2
2.106,1,2.106,2.106,2.106,2.106,0.0,[CUDA memcpy Host-to-Device],65,2
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],65,2
216.1,2,108.05,108.05,108.05,108.05,0.0,[CUDA memset],65,3
2.106,1,2.106,2.106,2.106,2.106,0.0,[CUDA memcpy Host-to-Device],65,3
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],65,3
216.1,2,108.05,108.05,108.05,108.05,0.0,[CUDA memset],65,4
2.106,1,2.106,2.106,2.106,2.106,0.0,[CUDA memcpy Host-to-Device],65,4
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],65,4
216.1,2,108.05,108.05,108.05,108.05,0.0,[CUDA memset],65,5
2.106,1,2.106,2.106,2.106,2.106,0.0,[CUDA memcpy Host-to-Device],65,5
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],65,5
216.1,2,108.05,108.05,108.05,108.05,0.0,[CUDA memset],65,6
2.106,1,2.106,2.106,2.106,2.106,0.0,[CUDA memcpy Host-to-Device],65,6
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],65,6
216.1,2,108.05,108.05,108.05,108.05,0.0,[CUDA memset],65,7
2.106,1,2.106,2.106,2.106,2.106,0.0,[CUDA memcpy Host-to-Device],65,7
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],65,7
216.1,2,108.05,108.05,108.05,108.05,0.0,[CUDA memset],65,8
2.106,1,2.106,2.106,2.106,2.106,0.0,[CUDA memcpy Host-to-Device],65,8
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],65,8
216.1,2,108.05,108.05,108.05,108.05,0.0,[CUDA memset],65,9
2.106,1,2.106,2.106,2.106,2.106,0.0,[CUDA memcpy Host-to-Device],65,9
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],65,9
216.1,2,108.05,108.05,108.05,108.05,0.0,[CUDA memset],65,10
2.106,1,2.106,2.106,2.106,2.106,0.0,[CUDA memcpy Host-to-Device],65,10
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],65,10
286.85,2,143.425,143.425,143.425,143.425,0.0,[CUDA memset],75,1
2.805,1,2.805,2.805,2.805,2.805,0.0,[CUDA memcpy Host-to-Device],75,1
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],75,1
286.85,2,143.425,143.425,143.425,143.425,0.0,[CUDA memset],75,2
2.805,1,2.805,2.805,2.805,2.805,0.0,[CUDA memcpy Host-to-Device],75,2
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],75,2
286.85,2,143.425,143.425,143.425,143.425,0.0,[CUDA memset],75,3
2.805,1,2.805,2.805,2.805,2.805,0.0,[CUDA memcpy Host-to-Device],75,3
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],75,3
286.85,2,143.425,143.425,143.425,143.425,0.0,[CUDA memset],75,4
2.805,1,2.805,2.805,2.805,2.805,0.0,[CUDA memcpy Host-to-Device],75,4
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],75,4
286.85,2,143.425,143.425,143.425,143.425,0.0,[CUDA memset],75,5
2.805,1,2.805,2.805,2.805,2.805,0.0,[CUDA memcpy Host-to-Device],75,5
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],75,5
286.85,2,143.425,143.425,143.425,143.425,0.0,[CUDA memset],75,6
2.805,1,2.805,2.805,2.805,2.805,0.0,[CUDA memcpy Host-to-Device],75,6
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],75,6
286.85,2,143.425,143.425,143.425,143.425,0.0,[CUDA memset],75,7
2.805,1,2.805,2.805,2.805,2.805,0.0,[CUDA memcpy Host-to-Device],75,7
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],75,7
