Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation,d,run
53.4,5061,2,2530.5,2530.5,2353,2708,251.0,[CUDA memset],5,1
30.3,2869,2,1434.5,1434.5,1322,1547,159.1,[CUDA memcpy Device-to-Host],5,1
16.3,1547,1,1547.0,1547.0,1547,1547,0.0,[CUDA memcpy Host-to-Device],5,1
53.6,5047,2,2523.5,2523.5,2332,2715,270.8,[CUDA memset],5,2
30.2,2843,2,1421.5,1421.5,1278,1565,202.9,[CUDA memcpy Device-to-Host],5,2
16.3,1534,1,1534.0,1534.0,1534,1534,0.0,[CUDA memcpy Host-to-Device],5,2
65.3,12583,2,6291.5,6291.5,5607,6976,968.0,[CUDA memset],10,1
20.0,3854,1,3854.0,3854.0,3854,3854,0.0,[CUDA memcpy Host-to-Device],10,1
14.7,2835,2,1417.5,1417.5,1274,1561,202.9,[CUDA memcpy Device-to-Host],10,1
65.1,12454,2,6227.0,6227.0,5606,6848,878.2,[CUDA memset],10,2
20.3,3886,1,3886.0,3886.0,3886,3886,0.0,[CUDA memcpy Host-to-Device],10,2
14.6,2803,2,1401.5,1401.5,1274,1529,180.3,[CUDA memcpy Device-to-Host],10,2
53.4,4999,2,2499.5,2499.5,2324,2675,248.2,[CUDA memset],5,1
30.3,2835,2,1417.5,1417.5,1274,1561,202.9,[CUDA memcpy Device-to-Host],5,1
16.3,1528,1,1528.0,1528.0,1528,1528,0.0,[CUDA memcpy Host-to-Device],5,1
52.9,4986,2,2493.0,2493.0,2316,2670,250.3,[CUDA memset],5,2
30.7,2896,2,1448.0,1448.0,1287,1609,227.7,[CUDA memcpy Device-to-Host],5,2
16.4,1544,1,1544.0,1544.0,1544,1544,0.0,[CUDA memcpy Host-to-Device],5,2
53.4,4985,2,2492.5,2492.5,2301,2684,270.8,[CUDA memset],5,3
30.1,2812,2,1406.0,1406.0,1278,1534,181.0,[CUDA memcpy Device-to-Host],5,3
16.4,1534,1,1534.0,1534.0,1534,1534,0.0,[CUDA memcpy Host-to-Device],5,3
53.2,5100,2,2550.0,2550.0,2390,2710,226.3,[CUDA memset],5,4
30.9,2965,2,1482.5,1482.5,1403,1562,112.4,[CUDA memcpy Device-to-Host],5,4
15.9,1529,1,1529.0,1529.0,1529,1529,0.0,[CUDA memcpy Host-to-Device],5,4
53.7,5064,2,2532.0,2532.0,2357,2707,247.5,[CUDA memset],5,5
30.1,2835,2,1417.5,1417.5,1274,1561,202.9,[CUDA memcpy Device-to-Host],5,5
16.2,1529,1,1529.0,1529.0,1529,1529,0.0,[CUDA memcpy Host-to-Device],5,5
53.5,5132,2,2566.0,2566.0,2389,2743,250.3,[CUDA memset],5,6
30.0,2873,2,1436.5,1436.5,1292,1581,204.4,[CUDA memcpy Device-to-Host],5,6
16.5,1582,1,1582.0,1582.0,1582,1582,0.0,[CUDA memcpy Host-to-Device],5,6
53.6,5023,2,2511.5,2511.5,2368,2655,202.9,[CUDA memset],5,7
30.0,2816,2,1408.0,1408.0,1280,1536,181.0,[CUDA memcpy Device-to-Host],5,7
16.4,1536,1,1536.0,1536.0,1536,1536,0.0,[CUDA memcpy Host-to-Device],5,7
53.4,5006,2,2503.0,2503.0,2296,2710,292.7,[CUDA memset],5,8
30.3,2837,2,1418.5,1418.5,1275,1562,202.9,[CUDA memcpy Device-to-Host],5,8
16.3,1531,1,1531.0,1531.0,1531,1531,0.0,[CUDA memcpy Host-to-Device],5,8
53.2,5001,2,2500.5,2500.5,2325,2676,248.2,[CUDA memset],5,9
30.5,2866,2,1433.0,1433.0,1274,1592,224.9,[CUDA memcpy Device-to-Host],5,9
