Operation,d,Time (%),Total Time (ns),Avg (ns),Min (ns),Max (ns),Total (MB),Avg (MB),Min (MB),Max (MB)
[CUDA memcpy Device-to-Host],5,30.3,2858.5833333333335,1429.2916666666667,1294.5833333333333,1564.0,0.0,0.0,0.0,0.0
[CUDA memcpy Device-to-Host],10,14.649999999999999,2819.0,1409.5,1274.0,1545.0,0.0,0.0,0.0,0.0
[CUDA memcpy Device-to-Host],15,6.590000000000001,2715.2,1357.6,1285.7,1429.5,0.0,0.0,0.0,0.0
[CUDA memcpy Device-to-Host],25,2.64,2789.1,1394.55,1377.0,1412.1,0.0,0.0,0.0,0.0
[CUDA memcpy Device-to-Host],35,1.45,2867.1,1433.55,1406.3,1460.8,0.0,0.0,0.0,0.0
[CUDA memcpy Device-to-Host],45,0.86,2826.2,1413.1,1381.3,1444.9,0.0,0.0,0.0,0.0
[CUDA memcpy Device-to-Host],55,0.6,3048.2,1524.1,1485.5,1562.7,0.0,0.0,0.0,0.0
[CUDA memcpy Device-to-Host],65,0.08,3073.7,1536.85,1437.5,1636.2,0.0,0.0,0.0,0.0
[CUDA memcpy Device-to-Host],75,0.1,3503.3,1751.65,1580.7,1922.6,0.0,0.0,0.0,0.0
[CUDA memcpy Device-to-Host],84,0.09,3532.2,1766.1,1676.5,1855.7,0.0,0.0,0.0,0.0
[CUDA memcpy Host-to-Device],5,16.283333333333335,1537.3333333333333,1537.3333333333333,1537.3333333333333,1537.3333333333333,0.014,0.014,0.014,0.014
[CUDA memcpy Host-to-Device],10,20.15,3870.0,3870.0,3870.0,3870.0,0.051,0.051,0.051,0.051
[CUDA memcpy Host-to-Device],15,26.85,11051.2,11051.2,11051.2,11051.2,0.11300000000000002,0.11300000000000002,0.11300000000000002,0.11300000000000002
[CUDA memcpy Host-to-Device],25,24.64,26091.5,26091.5,26091.5,26091.5,0.312,0.312,0.312,0.312
[CUDA memcpy Host-to-Device],35,24.69,48662.8,48662.8,48662.8,48662.8,0.61,0.61,0.61,0.61
[CUDA memcpy Host-to-Device],45,23.79,78827.8,78827.8,78827.8,78827.8,1.009,1.009,1.009,1.009
[CUDA memcpy Host-to-Device],55,23.770000000000003,120510.6,120510.6,120510.6,120510.6,1.508,1.508,1.508,1.508
[CUDA memcpy Host-to-Device],65,91.45,5510645.5,5510645.5,5510645.5,5510645.5,2.106,2.106,2.106,2.106
[CUDA memcpy Host-to-Device],75,88.81,5457261.0,5457261.0,5457261.0,5457261.0,2.805,2.805,2.805,2.805
[CUDA memcpy Host-to-Device],84,86.34,5741725.3,5741725.3,5741725.3,5741725.3,3.5189999999999997,3.5189999999999997,3.5189999999999997,3.5189999999999997
[CUDA memset],5,53.40833333333333,5038.916666666667,2519.4583333333335,2343.3333333333335,2695.5833333333335,1.6000000000000003,0.8000000000000002,0.8000000000000002,0.8000000000000002
[CUDA memset],10,65.19999999999999,12518.5,6259.25,5606.5,6912.0,5.725,2.862,2.862,2.862
[CUDA memset],15,66.55,27420.1,13710.05,11502.3,15917.8,12.35,6.175,6.175,6.175
[CUDA memset],25,72.72999999999999,76999.5,38499.75,36706.7,40292.8,33.1,16.55,16.55,16.55
[CUDA memset],35,73.84,145557.0,72778.5,72289.4,73267.6,63.85,31.925,31.925,31.925
[CUDA memset],45,75.35,250578.8,125289.4,120684.3,129894.5,104.6,52.3,52.3,52.3
[CUDA memset],55,75.64,383695.0,191847.5,181688.7,202006.3,155.35,77.675,77.675,77.675
[CUDA memset],65,8.48,508371.4,254185.7,253330.3,255041.1,216.1,108.05,108.05,108.05
[CUDA memset],75,11.15,684715.3,342357.65,338261.9,346453.4,286.85,143.425,143.425,143.425
[CUDA memset],84,13.62,901125.7,450562.85,424960.2,476165.5,359.075,179.537,179.537,179.537
