Distanza,Tempo di esecuzione (s),User time (seconds),System time (seconds),Percent of CPU this job got (%),Elapsed (wall clock) time (s),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes)
30,39.04593215,39.16,0.80,101,39.28,0,0,0,0,3437836,0,57,12002,4213,763,0,9432,0,0,0,0,4096
30,38.356979521000085,38.64,0.54,101,38.58,0,0,0,0,3437652,0,55,11487,4185,241,0,9200,0,0,0,0,4096
30,39.17829164199998,39.61,0.51,101,39.41,0,0,0,0,3437848,0,55,11488,4185,821,0,9200,0,0,0,0,4096
30,38.58717512599992,38.94,0.49,101,38.83,0,0,0,0,3437796,0,55,11487,4184,250,0,9200,0,0,0,0,4096
30,39.031199043000015,39.35,0.51,101,39.23,0,0,0,0,3437796,0,55,11492,4185,500,0,9200,0,0,0,0,4096
30,38.60870579900006,38.94,0.50,101,38.81,0,0,0,0,3437680,0,55,11485,4185,416,0,9200,0,0,0,0,4096
30,39.45690757000011,39.89,0.45,101,39.7,0,0,0,0,3437732,0,56,11490,4185,71,0,9200,0,0,0,0,4096
30,39.093866487000014,39.58,0.42,101,39.33,0,0,0,0,3437892,0,55,11486,4184,808,0,9200,0,0,0,0,4096
30,38.447070495999924,38.75,0.53,101,38.69,0,0,0,0,3437732,0,55,11494,4186,362,0,9200,0,0,0,0,4096
30,43.45994595399998,43.58,0.61,101,43.71,0,0,0,0,3437852,0,55,11483,4186,196,0,9200,0,0,0,0,4096
30,54.095525094000095,54.35,0.51,100,54.4,0,0,0,0,3437688,0,55,11493,4184,359,0,9200,0,0,0,0,4096
30,38.63872910800001,38.85,0.53,101,38.93,0,0,0,0,3437784,0,55,12003,4185,199,0,9200,0,0,0,0,4096
30,38.806638235000264,39.10,0.57,101,39.05,0,0,0,0,3437780,0,55,11492,4186,244,0,9200,0,0,0,0,4096
30,38.972865731000184,39.42,0.49,101,39.22,0,0,0,0,3437620,0,55,11492,4184,62,0,9200,0,0,0,0,4096
30,38.95042991799983,39.32,0.49,101,39.21,0,0,0,0,3437588,0,55,11999,4185,198,0,9200,0,0,0,0,4096
30,39.16235653300009,39.50,0.49,101,39.4,0,0,0,0,3437984,0,55,11495,4184,153,0,9200,0,0,0,0,4096
30,38.364168167000116,38.81,0.50,101,38.61,0,0,0,0,3437776,0,55,10977,4186,123,0,9200,0,0,0,0,4096
30,42.34586191900007,42.70,0.56,101,42.58,0,0,0,0,3437684,0,55,11492,4184,62,0,9200,0,0,0,0,4096
30,43.144268880000254,43.67,0.44,101,43.38,0,0,0,0,3437624,0,55,11488,4185,121,0,9200,0,0,0,0,4096
30,39.08789383900012,39.51,0.50,101,39.33,0,0,0,0,3437900,0,55,11525,4184,62,0,9200,0,0,0,0,4096
30,39.57673703899991,39.84,0.56,101,39.82,0,0,0,0,3437832,0,55,11494,4184,264,0,9200,0,0,0,0,4096
30,39.452577303,39.86,0.46,101,39.68,0,0,0,0,3437684,0,55,11493,4184,485,0,9200,0,0,0,0,4096
30,38.970284441999866,39.37,0.51,101,39.21,0,0,0,0,3437612,0,55,11488,4184,113,0,9200,0,0,0,0,4096
30,39.213004528000056,39.50,0.52,101,39.46,0,0,0,0,3437680,0,55,11486,4186,156,0,9200,0,0,0,0,4096
30,41.61481861199991,41.97,0.52,101,41.86,0,0,0,0,3437836,0,55,11479,4186,737,0,9200,0,0,0,0,4096
30,42.89980622499979,43.10,0.49,100,43.19,0,0,0,0,3437640,0,55,11997,4183,156,0,9200,0,0,0,0,4096
30,50.41872464499966,50.66,0.54,101,50.7,0,0,0,0,3437784,0,55,11489,4184,404,0,9200,0,0,0,0,4096
30,51.55256410899983,51.77,0.62,101,51.83,0,0,0,0,3437848,0,55,11999,4185,204,0,9200,0,0,0,0,4096
30,51.157361192999815,51.39,0.63,101,51.38,0,0,0,0,3437788,0,55,11488,4184,247,0,9200,0,0,0,0,4096
30,50.036113331999786,50.25,0.62,101,50.32,0,0,0,0,3437780,0,55,11488,4184,238,0,9200,0,0,0,0,4096
35,96.677283902,96.44,1.18,100,96.94,0,0,0,0,5265548,0,55,12557,4185,231,0,9200,0,0,0,0,4096
35,76.75079445199981,76.73,0.86,100,77.02,0,0,0,0,5265480,0,55,13575,4185,105,0,9200,0,0,0,0,4096
